t,value
1504895129,1
1504895134,1
1504895139,1
1504895144,1
1504895149,1
1504895154,1
1504895159,1
1504895164,1
1504895169,1
1504895174,1
1504895179,1
1504895184,1
1504895189,1
1504895194,1
1504895199,1
1504895204,1
1504895209,1
1504895214,1
1504895219,1
1504895224,1
1504895229,1
1504895234,1
1504895239,1
1504895244,1
1504895249,1
1504895254,1
1504895259,1
1504895264,1
1504895269,1
1504895274,1
1504895279,1
1504895284,1
1504895289,1
1504895294,1
1504895299,1
1504895304,1
1504895309,1
1504895314,1
1504895319,1
1504895324,1
1504895329,1
1504895334,1
1504895339,1
1504895344,1
1504895349,1
1504895354,1
1504895359,1
1504895364,1
1504895369,1
1504895374,1
1504895379,1
1504895384,1
1504895389,1
1504895394,1
1504895399,1
1504895404,1
1504895409,1
1504895414,1
1504895419,1
1504895424,1
1504895429,1
1504895434,1
1504895439,1
1504895444,1
1504895449,1
1504895454,1
1504895459,1
1504895464,1
1504895469,1
1504895474,1
1504895479,1
1504895484,1
1504895489,1
1504895494,1
1504895499,1
1504895504,1
1504895509,1
1504895514,1
1504895519,1
1504895524,1
1504895529,1
1504895534,1
1504895539,1
1504895544,1
1504895549,1
1504895554,1
1504895559,1
1504895564,1
1504895569,1
1504895574,1
1504895579,1
1504895584,1
1504895589,1
1504895594,1
1504895599,1
1504895604,1
1504895609,1
1504895614,1
1504895619,1
1504895624,1
1504895629,1
1504895634,1
1504895639,1
1504895644,1
1504895649,1
1504895654,1
1504895659,1
1504895664,1
1504895669,1
1504895674,1
1504895679,1
1504895692,1
1504895697,1
1504895702,1
1504895707,1
1504895712,1
1504895717,1
1504895722,1
1504895727,1
1504895732,1
