t,value
1504895129,7.304347826086956E-4
1504895134,0.002298876404494382
1504895139,4.615384615384616E-4
1504895144,2.2173913043478262E-4
1504895149,0.0
1504895154,0.0
1504895159,0.00225
1504895164,2.4615384615384614E-4
1504895169,0.0011041666666666667
1504895174,0.0
1504895179,4.695652173913043E-4
1504895184,4.134831460674157E-4
1504895189,4.38095238095238E-4
1504895194,6.666666666666666E-4
1504895199,0.0
1504895204,2.4166666666666664E-4
1504895209,6.289156626506024E-4
1504895214,3.5E-4
1504895219,4.476190476190476E-4
1504895224,2.2222222222222223E-4
1504895229,7.0E-4
1504895234,0.0016688172043010756
1504895239,4.117647058823529E-4
1504895244,0.001353846153846154
1504895249,4.38095238095238E-4
1504895254,0.0
1504895259,0.001032258064516129
1504895264,7.238095238095237E-4
1504895269,2.263157894736842E-4
1504895274,0.0
1504895279,2.363636363636364E-4
1504895284,0.001255813953488372
1504895289,2.0E-4
1504895294,2.2272727272727274E-4
1504895299,0.0
1504895304,4.727272727272728E-4
1504895309,4.2E-4
1504895314,1.935483870967742E-4
1504895319,4.3902439024390245E-4
1504895324,0.0
1504895329,2.4347826086956522E-4
1504895334,6.320000000000001E-4
1504895339,0.0
1504895344,4.5405405405405405E-4
1504895349,0.0
1504895354,0.0
1504895359,2.0919540229885056E-4
1504895364,4.8421052631578945E-4
1504895369,6.857142857142858E-4
1504895374,2.3478260869565215E-4
1504895379,0.0
1504895384,6.296296296296296E-4
1504895389,0.0
1504895394,0.0
1504895399,0.0
1504895404,0.0
1504895409,2.1333333333333333E-4
1504895414,0.0
1504895419,0.0
1504895424,0.0
1504895429,2.363636363636364E-4
1504895434,4.2318840579710145E-4
1504895439,0.0
1504895444,4.470588235294118E-4
1504895449,6.72E-4
1504895454,0.0
1504895459,4.2025316455696207E-4
1504895464,4.4E-4
1504895469,2.32258064516129E-4
1504895474,0.0
1504895479,0.0
1504895484,4.213333333333334E-4
1504895489,2.0540540540540543E-4
1504895494,0.0
1504895499,0.0
1504895504,0.0
1504895509,2.1159420289855072E-4
1504895514,2.15E-4
1504895519,0.0
1504895524,0.0
1504895529,0.0
1504895534,0.0
1504895539,0.0
1504895544,0.0
1504895549,2.3478260869565215E-4
1504895554,0.0
1504895559,0.0
1504895564,0.0
1504895569,0.0
1504895574,0.0
1504895579,2.380952380952381E-4
1504895584,6.369230769230769E-4
1504895589,2.1818181818181816E-4
1504895594,2.235294117647059E-4
1504895599,2.2400000000000002E-4
1504895604,2.5E-4
1504895609,6.28125E-4
1504895614,0.0
1504895619,0.0
1504895624,0.0
1504895629,0.0
1504895634,0.0
1504895639,2.1153846153846155E-4
1504895644,2.2580645161290321E-4
1504895649,2.1428571428571427E-4
1504895654,0.0
1504895659,2.1095890410958903E-4
1504895664,0.0
1504895669,4.74074074074074E-4
1504895674,0.0
1504895679,0.0
1504895692,0.0
1504895697,4.25531914893617E-4
1504895702,2.6153846153846154E-4
1504895707,0.0
1504895712,3.954022988505747E-4
1504895717,0.0
1504895722,0.0
1504895727,0.0
1504895732,0.0
