t,value
1504896902,10
1504896907,10
1504896912,9
1504896917,11
1504896922,25
1504896927,25
1504896932,25
1504896937,25
1504896942,25
1504896947,98
1504896952,98
1504896957,98
1504896962,99
1504896967,84
1504896972,6
1504896977,5
1504896982,5
1504896987,5
1504896992,12
1504896997,49
1504897002,50
1504897007,50
1504897012,49
1504897017,47
1504897022,10
1504897027,10
1504897032,9
1504897037,9
1504897042,10
1504897047,24
1504897052,25
1504897057,24
1504897062,25
1504897067,38
1504897072,98
1504897077,98
1504897082,98
1504897087,96
1504897092,83
1504897097,4
1504897102,5
1504897107,5
1504897112,5
1504897117,10
1504897122,49
1504897127,50
1504897132,50
